gbifID,order,species,individualCount,decimalLatitude,decimalLongitude,year
3694560519,Charadriiformes,Calidris mauri,2,34.8643,-119.49067,2021
3694506655,Passeriformes,Chondestes grammacus,1,34.8643,-119.49067,2021
3694422046,Columbiformes,Streptopelia decaocto,1,34.92239,-119.51264,2021
3693963220,Passeriformes,Sialia mexicana,4,34.815594,-119.459366,2021
3693832949,Passeriformes,Sturnus vulgaris,20,34.92239,-119.51264,2021
3693792513,Falconiformes,Falco peregrinus,1,34.92239,-119.51264,2021
3693529925,Columbiformes,Streptopelia decaocto,1,34.815594,-119.459366,2021
3693527140,Passeriformes,Corvus corax,1,34.8643,-119.49067,2021
3693023169,Passeriformes,Sturnella neglecta,8,34.937992,-119.47123,2021
3692836360,Passeriformes,Passer domesticus,1,34.8643,-119.49067,2021
3692563530,Passeriformes,Corvus corax,20,34.815594,-119.459366,2021
3692546172,Strigiformes,Bubo virginianus,1,34.859634,-119.463974,2021
3692429746,Charadriiformes,Calidris mauri,2,34.8643,-119.49067,2021
3692428708,Passeriformes,Chondestes grammacus,8,34.937992,-119.47123,2021
3691570547,Accipitriformes,Buteo jamaicensis,2,34.815594,-119.459366,2021
3691553773,Passeriformes,Sturnus vulgaris,3,34.986423,-119.47632,2021
3691540821,Passeriformes,Corvus corax,1,34.92239,-119.51264,2021
3691444085,Falconiformes,Falco sparverius,1,34.815594,-119.459366,2021
3691419568,Passeriformes,Euphagus cyanocephalus,5,34.8643,-119.49067,2021
3691387718,Caprimulgiformes,Chordeiles acutipennis,15,34.8643,-119.49067,2021
3690739196,Passeriformes,Empidonax traillii,1,34.847305,-119.47994,2021
3690407200,Apodiformes,Aeronautes saxatalis,5,34.8643,-119.49067,2021
3689968294,Columbiformes,Streptopelia decaocto,2,34.8643,-119.49067,2021
3689888027,Passeriformes,Eremophila alpestris,2,34.986423,-119.47632,2021
3689384416,Passeriformes,Corvus corax,1,34.8643,-119.49067,2021
3689326791,Passeriformes,Euphagus cyanocephalus,5,34.8643,-119.49067,2021
3688961432,Passeriformes,Tyrannus verticalis,1,34.8643,-119.49067,2021
3688930675,Charadriiformes,Calidris minutilla,10,34.8643,-119.49067,2021
3688697329,Columbiformes,Zenaida macroura,4,34.937992,-119.47123,2021
